story,gender
"כשחבר הזמין אותי לחול, לא באמת חשבתי שזה יקרה, פשוט אמרתי לו כן ותיארתי לעצני שזה יתבטל. אחרי שבועיים בערך אני מקבל טלפוןם ממנו, שומע? מצאתי אחלה מקודות שנוטכל טייל בהם! ואז הבנתי שזה הולך לקרות! התחלתי להתארגןם על דברים, ציוד להליכה, תיקים, בגדים חמים, כסף ודרכון מעודכן. לאחר תכנונים נפגשנו בשדה. הוא הביא לי את אחד מהתיקים שלו (כי לי אין תיק טוב לטיולים) ועלינו למטוס לאיטליה. בטיסה עצמה לא הצלחתי לישון, היה ילד קטן שבכה כל הדרך, מעצבן. כשהגענו, הלכנו ישר לסוכנות השכרת הרכב ולקחנו את הרכב שהזמנו מראש. סיטרואל 4C בצבע סגול, כי זה מה שנשאר. חצי קראנו לה. עלינו על חצי והתחלנו את המסע לכיוון אגם גארדה. השעה הייתה 10 בערב, קצת קריר בחוץ, חושך מוות ואין לנו מושג לאן אנחנו נוסעים (רק עם GPS) בהתחלה התחלנו לחפש מקום לישון בו, מצאנו עיירה סמוכה והחלטנו ללכת לשם, על הדרך עצרנו בפיצה, הםיצה הראשונה באיטליה! משם, המשכנו לעיירה עצמה ומצאנו אכסנייה די נחמדה שבה עצרנו ללילה. בבוקר שלמחורת, הוא מצא מסלול טיול על אחד ההרים באזור. נסענו לשם (נסיעה של כשעה בערך). התחלנו לעלות עם הרכב לכיוון המסלול, הדרך הייתה נופית, עצים ויער מכל כיוון, עד שבאיזשהו שלב הוא מבקש ממני לעצור ולחנות את הרכב. אני, שלא ראיתי חניה מסודרת ולא מכיר מסלולי טיולים כאלה לא הבנתי מה הוא רוצה. עצרתי את הרכב, יצאנו ממנו מסתכלים לכיוון ההר (בדיעבד, ההר היה בגובה של 2 קמ). הוא מצביע לראש ההר ואומר לי: רואה את הצלב שם? לשם אנחנו מגיעים!"". אמרתי אוקיי, איפה ההתחלה? הוא אומר לי פה, והתחלנו ללכת לכיוון ראש ההר. בהתחלה העליה הייתה די תלולה, אני אומנם בלי םפחד גבהים אבל כל הזמן דיברתי איתו מה היה קורה אם, אם מישהו נופל מה עושים? איל מזעיקים עזרה? (העייריה הכי קרובה זה שעה נסיעה, אני בלי טלפון עם רשת והוא עם חצי כוח). הסכמנו שאם אחד נופל וזאת פציעה קשה, עוצרים (כמובן) ומנסים לפנות כמה שאפשר. לא קרה לנו כלום, לשמחתי. לאחר הטיפוס של שעתיים בערךף, הגענו לראש ההר! הנוף היה מרשים! השמיים היו מכוסים בעננים ולא ראינו יותר מידי בהתחלה, אבל לאחר כמה דקות השמיים בתבהרו קצת וראינו ממש רחוק! אפילו אתץ האוטו שלא גנבו אותו בסוף (שזאת הייתה אחת מהדאגות שלי). לאחר מכן חזרנו לאוטו ונסענו עיירה חדשה במטרה לטייל שוב. ואז התחילה הקורונה, לא חשבנו שזה יגיע לאזור שלנו אבל עדיין. כששמענו על זה בפעם הראשונה קצת צחקנו ואמרנו שאין סיכוי שזה יגיע אלינו, אבל כשהגיע אליטליה, מצאנו את עצמנו מנסים לחזור כמה שיותר נמהר הביתה. בסוף, הספקנו לעלות את הטיסה הראשטה מאיטליה לפני שהיא נסגרה, המזל היה שהיינו עם מסיכות כבר אז לא נדבקנו",m
"לפני שהתגייסתי לצבא עשיתי כל מני מיונים ליחידות מובחרות ביום סיירות. באותו יום אכן קיבלתי מיון ליחידה מאד מאד מיוחדת בחיל הים. אני כאחד שלא אוהב במיוחד מים אמרתי שאתן לזה סיכוי ואנסה ללכת ולראות מה יצא מהנסיון המעניין הזה. הגענו לאיזה מקום באזור חיפה. לאחר כמה דקות בלבד אמרו לנו ישר להוריד את הדברים וישר התחילו להריץ אותנו ממקום למקום, מלמעלה למטה, בזחילות בריצה וכל דרך שאפשר לדמיין.. השלבים הקשיים ביותר הם היו הריצות למים לשחות שעות ארוכות להגיע ממקום למקום בקבוצה וביחידים. באוהל שלי היו עוד שתי אנשים שאחד היה מאד מורעל להתקבל ,יהיר,דברן ורעשן והבן אדם השני היה בן אדם שקט,נחמד ודי מופנם. שהגענו לאתר, לא ידענו לכמה זמן אנחנו מגיעים למיונים, מה עושים ואיך עושים. רק ידענו שאנחשים הולכים הביתה תוך כדי. השמועות אמרו שהמיון אמור להיות בין 3 ימים לשבוע. היו המון אנשים בהתחלה ולאט לאט התחלנו להרגיש את הדילול באנשים מרגע לרגע, זה היה די קיצוני. היינו עושים תחרות סמויה בין האוהלים של מי מבין כל האוהלים נשארים הכי הרבה חברי צוות. (בכל אוהל היה שלושה אנשים). יום אחרי יום אנשים עפים על ימין ועל שמאל ובאמת ראינו שאנחנו האוהל שנשאר בהרכב המלא שלו. התחלנו לדבר על זה באוהל והבחור היהיר התחיל להתרברב ולצחוק על כולם והבחור השני אמר לו שזה לא לעניין וכו' הבחור היהיר תמיד היה אומר לו ""מה שהמפקדים לא יודעים ולא שומעים זה לא משנה העיקר זה להראות להם מה שהם רוצים לראות ולהשמיע להם מה שהם רוצים לשמוע"". האמת שהיה לי לא נעים כל העניין עם הצביעות הזו אבל אני בחרתי לשתוק ולהסכים עם הבחור השקט. ביום האחרון עמדנו כולנו בח' , אמרו לכולם כל הכבוד על השבוע וכו' אמרו שכל מי שנישאר עבר מלבד שתי אנשים. הייתי בטוח שהאוהל שלנו לא קשור לזה כי היו אנשים שהיה ניראה שהפ פחות מתאימים! המפקד לפתע קורא לשתי אנשי האוהל שלי! הוא אומר לפני כולם, "" הבחור השקט הזה, הוא שתול!! הוא חלק מצוות המפקדים, הוא המפקד של המפקדים.. הבחור שהולך הביתה זה הבחור השני(היהיר והשחצן). זה היה כלכך מטורף שהבחור אמר את המשפט שהכי אסור לומר לבן אדם שהכי אסור שהוא ישמע את הדבר הזה.",m
"מאז שהתחילו הלימודים חלומו של כל סטודנט זה הפנגויה, מחפשים חברים וקובעים קבוצות. לא היה קל להכיר אנשים חדשים במכללה במיוחד שלא מכירים אף אחד מראש אבל אחרי מאמצים הצלחתי למצוא לעצמי חברות אנשים נחמדים להיות איתם. וכבר בחודש הראשון של התואר ידעתי עם מי אני נוסעת 5 חברות חדשות שפגשתי בכיתה שלי ורצינו ללכת ביחד כולנו באותו ראש עובדות חלק רווקות וחלק בזוגיות אבל מה שהכי רצינו לעשות זה ללכת לחגוג אז ישר קבענו ביחד. אפילו את החדרים שלנו סגרנו כשהייתי בחול אצל לקוח של החברה שלי ככה שלא היה אכפת לי לפנות לזה זמן כדי שנוכל ללכת ולהנות שם. ואז התחילה הקורונה ושיהשה את כל התוכניות. יצא שבמשך תקופה מאוד ארוכה דחו את הקורונה בלי הפסקה מספר פעמים, כך שבמקום מאי של אותה שנה הפנגויה היתה בספטמבר שנתיים אחרי. וגם היה שינויים במסיבות ובתוכניה של הפנגויה , כלומר לא פנגויה רגילה אבל אחרי שנתיים לאף אחד לא אכפת. וכל אחת מהבנות גם היתה בסטטוס אחר , וכך יצא שבמקום 5 בנות נשארנו רק 3 (אבל לפחות החברות הכי טובות) במשך תקופה מאוד ארוכה תיכננו מה נקנה ומה נלבש ולאן נצא, אפילו קבענו מקום למסעדה שנקראת "" ""המחבוא של אדי"" "" ל 10 אנשים כמה חודשים מראש. ואז הגיע השבוע של לפני הפנגויה ההתרגשות בשיא אבל אני לא בהרגשה שיא. בהתחלה זה היה צינון ואחרי זה זה היה שיעול וחום ובסוף החלטתי לעשות בדיקת קורונה כדי להבין מה קורה איתי וקיבלתי תשובה חיובית. התבאסתי ברמות ונכנסתי לבידוד כדי לא להדביק אף אחד. וכך יצא שאחרי שנתיים שלמות של המתנה אני צריכה להמתין עוד שנה שלמה עד הפנגויה הבאה, קיבלתי תמונות וסרטונים שקרעו לי את הלב והוציאו לי את העיניים וגם לקחו לי את החוש טעם וריח שמשפיע עלי עד היום הזה. בקיצור כמה מסקנות יש מהסיפור הזה, דבר ראשון לא לצפות יותר מידי לדברים דבר שני להתחסן לקורונה כי זה לא היה נעים בכלל.",f
"כשהייתי ילד, מטוסים היה הדבר שהכי ריתק אותי. בתור בן למפקד טייסת בחיל האוויר, הסיפורים שהקריאו לי לפני השינה לא היו סיפור בחמשת הבלונים, אלא מלחמות ישראל, ובעיקר באוויר. החדר היה מלא בפוסטרים ודגמים של כל מטוס אפשרי שהיה אי פעם למדינת ישראל ושכנותיה. זה לא הפתיע אף אחד, לא זה ולא העובדה שבגיל 13 הייתי הקפטן של מועדון הטיסנים של רחובות. בגיל 16 התחלתי מיוני טיס, להיות טייס היה החלום הכי גדול שלי, וכמובן שלא יכולתי לאכזב את אבא שלי, רציתי שהוא יהיה גאה בי. כל מבחן שהביאו לי עברתי בהצטיינות יתרה, כל שלב סיימתי בין הראשונים. זהרתי. הייתי מגיע הביתה מספר לאבא שלי והמבט הגאה היה שווה הכול. אחרי שעברתי את המיונים בהצלחה התחלתי את קורס הטיס, גם שם הצטיינתי בכל המבחנים ובכל הטסטים, הייתי בין החניכים המוכשרים שהיו אז בבית ספר לטיס. ידעתי שאני הולך להיות טייס קרב, עם נתונים כמו שלי זה היה ברור גם לי וגם ולאבא שלי. אני זוכר שבסופ""ש לפני סיום הקורס, בארוחת שישי אני ואבא שלי עמדנו במרפסת. היה לו מבט מתוחכם. המבט המתוחכם תמיד היה הכרטיס ביקור של אבא שלי, בתור מפקד טייסת הוא תמיד שמר בתוכו את הסודות הכי כמוסים של מדינת ישראל, אבל הפעם זה היה שונה, זה היה מבט מתוחכם שמלווה בשמחה וגאווה. הוא ידע משהו שאני לא. תיארתי לעצמי שיכול להיות שהוא כבר יודע מי מהחניכים הולך לאיזה טייסת, וכנראה שהתוצאות שלי כן הבטיחו לי מקום בטייסת קרבית. כששאלתי אותו אם הוא שמע במקרה לאן רוצים לשלוח אותי הוא התעצבן עליי ואמר לי שזה לא מקובל להשתמש בקשרים אישיים. אבא שלי תמיד היה איש מערכתי ולוייאלי אז לא נפגעתי ממנו, הבנתי אותו. ביום ראשון היה הטקס חשיפת כנפיים, כל הברנז'ה הצהלית הגיעה. הרמטכ""ל, מפקד חיל האוויר, מפקדי טייסות. עבור החניכים זה היה כמו להסתכל על זאוס וכל החבורה שלו שירדו מהאולימפוס. אפילו גדי איזנקוט שהוא לא אדם גבוה, בלשון המעטה, היה נראה לנו מינימום כמו 10 מטוסי F-16 שמחוברים אחד לשני לגובה. המעמד וההתרגשות היו בשיאם. בין כל האנשים האלה עמד אבא שלי עם אותו מבט מתוחכם, שמח וגאה, לא הורדתי ממנו את המבט, הוא עדיין ידע משהו שאני לא. ברגע שהתחיל הטקס, הרמטכ""ל התחיל לעבור חניך וחניך והוריד לו את האיזולירבנד הלבן מהכנפי טיס. כשהוא הגיע אליי, הוא עצר והלך אחורה. לא הבנתי מה קורה. ""למה הוא עצר? יכול להיות שלא סיימתי את הקורס? אבל איך זה יכול להיות, אני המצטיין! איך אני אסתכל לאבא שלי בעיניים ועוד מול הרמטכ""ל? איזה פאדיחות!"" עבר לי בראש. איך שהאור חזר לי לעיניים ראיתי את אבא שלי ניגש מולי ומוריד לי את האיזולירבנד הלבן מהכנפי טייס. ארבע מילים יצאו לו מהפה ""ברוך הבא לטייסת בן"". ארבע מילים שאני לעולם לא אשכח.",m
"‏הייתי מדריכה בכפר נוער ומתאם הכפר היינו צריכים לטוס לטיול בפולין אני הייתי המדריכה של תלמידי כיתות יב, ‏ולכן באופן אוטומטי גם אני טסתי איתם לפולין הגיע יום הטיסה ‏כל הבגדים שלי כבר היו ארוזים וחיכיתי מאוד לטיסה הזאת לטיסה משמעותית לעשות תיקון לחוויה שהיתה לי בפולין כשהייתי נערה ‏הגענו לשדה התעופה עברנו בדיוק בטחוני נכנסנו לדיוטי פרי כמובן שרכשנו כמה דברים ואז עלינו על מטוס בדרך לפולין. הגענו למלון בפולין, התמקמנו בחדרים והלכנו לישון יום למחרת התחלנו את המסע בפולין , נסענו למחנות השמדה , לבתי קברות ולבתי כנסת באזור ואז הגענו ליער אחד בפולין , שם היו בורות ירי של היהודים הייתי עסוקה כל כך בתלמידים שלי , שנייה אחת איבדתי ריכוז ומעדתי ונפלתי לתוך אחד הבורות קיבלתי מכה ממש ממש חזקה ברגל ולא הצלחתי לדרוך עליה אבל חשבתי שזאת סתם מכה וזה יעבור יום למחרת כבר. בנצי שכנראה שברתי את הרגל, לקחו אותי לבית חולים בפולין - הם לא הבינו אותי ואני לא הבנתי אותם אבל בהחלט הוחלט ששברתי את הרגל, שמו לי גבס והביאו לי כיסא גלגלים ושלחו אותי חזרה למלון . כמובן שלא יכולתי להמשיך את המסע לפולין והתלבטנו מתי עליי לחזור הביתה - האם לחזור עם כל הקבוצה בעוד כמה ימים או לחזור עכשיו הביתה לבד ולחכות שיטפלו בי בארץ. אחרי לבטים ארוכים הוחלט שאני אחזור לארץ- פחדתי לחזור לבד ולכן אחת המורות הצטרפה וחזרה איתי . עלינו על מטוס וחזרנו לארץ, באמצע הדרך בטיסה נשבר לי הגבס ויצא הגעתי לארץ עם רגל שבורה בלי גבס וכאבי תופת וישר שלחו אותי לבית חולים , גבסו לי שוב את הרגל ונשלחתי הביתה. במשך חודשיים השבר לא עבר ,וכל פעם נשבר ונשבר , אחרי חודשיים שראינו שהשבר לא עובר , הבינו הרופאים שאני צריכה לעבור ניתוח מאוד מסובך ברגל הכניסו אותי לניתוח דחוף באותו הרגע . היה סיבוך מאוד מסוכן ונאלצו לכרות לי את הרגל ‏כעבור חודשים הלכתי לעשות פרוטזה ברגל וגילינו שאיי אפשר לעשות פרוטזה בגלל ‏שהגדם חלק. כיום שש שנים אחרי , ניצחתי בתחרות שחייה לנכים !!!",f
"לפני כ3 חודשים טסתי לרומא למשך שבוע. טסתי במטוס אל על, הטיסה ארכה כ3 וחצי שעות, לא היו עיכובים. נחתנו בערך בשעה 9 בבוקר ברומא, מהשדה תעופה נסענו למלון Artemide, משם הלכנו למזרקת טרווי - לפי אגדה מסורתית, השלכת מטבע למזרקה, ביד ימין מעבר לכתף שמאל, מבטיחה את שובו של המשליך לרומא, מעריכים כי מטבעות בשווי כשלושת אלפים אירו נגרפות מדי לילה מתחתית המזרקה. הסתובבנו באזור של המזרקה. לקראת הערב נסענו לארוחת ערב במלון Eden. יום למחרת נסענו בבוקר לגני וילה בורגוזה - גן בסגנון אנגלי, בגן מצויים מספר מבנים המשמשים כיום כמוזיאונים, והוא הגן הציבורי השני בגודלו ברומא. השכרנו אוטו גולף והיינו שם בערך כשעתיים, משם המשכנו לפיאצה דל פופולו – כיכר ענקית שמשמעות השם באיטלקית המודרנית היא "" ""כיכר העם"" "". אחר כך הלכנו למלון de Russie להשקה של המכונית Lamborghini Huracán STO, ואכלנו שם ארוחת צהרים. בערב הלכנו להסתובב ברובע היהודי ובשכונת trastevere. יום אחרי זה נסענו לוותיקן - המדינה העצמאית הקטנה בעולם מבחינת שטחה – פחות ממחצית קמ"" ""ר בתוך העיר רומא שבאיטליה, וכן מבחינת האוכלוסייה – כ-811 נפשות. שם נכנסנו לבזיליקת פטרוס הקדוש - מבנה הדת הנוצרי הגדול בעולם, ויכול להכיל בתוכו עד כ-60,000 איש. בערב הלכנו לאכול פיצה באזור מזרקת הטרבי. יום למחרת נסענו בבוקר לקוליסאום - שהוא למעשה אמפיתיאטרון ענק. גודלו המדויק הוא 188 על 156 מטר וגובהו הוא 48.5 מטר (15 קומות). בתקופת השיא שלו הוא איכלס בין 40,000 ל70,000 צופים. משם המשכנו לפנתאון – מבנה שהוקם בסביבות שנת 25 לפנה”ס והמשמעות שלו היא "" ""מקום סגידה לכל האלים"" "". ביום האחרון הלכנו למדרכות הספרדיות (גרם מדרגות, הכולל 138 מדרגות, שמקשר בין הפיאצה די ספניה, כיכר ספרד, לבין פיאצה טריניטה די מונטי וכנסיית טריניטה דיי מונטי) המדרגות הספרדיות הן גרם המדרגות הרחב והארוך ביותר באירופה, אחרי זה הלכנו לקניון La Rinascente – קניון של 7 קומות. לאורך כל הטיול היה חם מאוד – בערך 35 מעלות אז אכלנו הרבה גלידה. בסך הכול הטיול היה כיף ובעיקר טעים.",f
"אני כבר שנתיים נשוי והשנה אני ואישתי סוף סוף יצאנו מהבית של ההורים ועברנו לגור לבד ביחידת דיור לבד רק שנינו. אחת החוויות היותר טובות שחויתי בשנים האחרונות אחרי החתונה. אמנם עברנו לעיר אחרת וקצת התחרחקנו מההורים, והמעבר היה לא פשוט הרבה נסיעות הלוך ושוב על מנת להעביר את כל הדברים שלנו , לקנות מלא דברים חדשים בשביל לרהט ולאבזר את הביתה שזה בפני עצמו משימה לא קלה ועוד חלק קשה היה להרכיב את הריהוט שקנינו את השולחנות את השידות לתלות טלויזיה, פרט למאמץ הפיזי היה גם את החשש התמידי של אם ואיך נסתדר כלכלית? הוצאות על הדירה שכירות חשמל וכו'.. ובכללי מעבר דירה מסתבר זה לא דבר קל. ופה מגיע ""אבל"", וזה אבל גדול מאוד כל הקושי והלחץ היה שווה את זה ובגדול הרווחנו שקט וחיזקנו את הזוגיות שלנו ופתאום להיות אדון לעצמך לגמרי זה היה שווה הכל. לא האמנתי שאחרי 10 שנות זוגיות עוד אפשר לגלות על בת זוגתך דברים חדשים וזה בדיוק מה שקרה גיליתי שהיא מכינה אוכל טעים ושהיא כל הזמן דואגת שהבית יהיה מסודר ונקי וגם גיליתי על עצמי שכשיש לך בית בשבילך אז באמת אכפת לך יותר מהסביבה שבה אתה גר ואתה באופן אוטומטי נהיה בן אדם יותר אחראי ויותר אוהב ויותר דואג. אז מצד אחד לצאת מבית ההורים יש חסרונות של עזרה שלא תמיד תהיה ומרחק שזה תמיד דבר קצת מבאס אבל היתרונות גוברים על החסרונות הפער גדול מאוד המעבר הזה היה שווה כל שניה של לחץ וכל שניה של מאמץ ונסיעות שלא נגמרו וגם אחרי המעבר מסתבר שהם לא נגמרו כי עדיין יש שם דברים לקחת. לסיכום החוויה אני יאמר שאני ממליץ לכל מי שנשוי או בדרך לעבור לגור עם הבת זוג וכמה שיותר מהר זה משפר את הזוגיות זה נותן סוג של ""חופש"" או המילים אחרות סוג של עצמאות אני חושב שזה אחד הצעדים הכי טובים שעשיתי בחיים שלי ואני חושב שהייתי צריך לעשות את זה הרבה קודם .",m
"השנה התחלנו שיפוץ בדירה שלנו בתל אביב. הדירה הינה דירה ישנה מאד, הבניין בן כ-60 שנים. אחרי הרבה זמן של תיקונים נקודתיים, קפיצות בחשמל ונזילות מים, קיבלנו החלטה לבצע שיפוץ חלקי בדירה, אשר כלל בהתחלה, הורדת קיר בין הסלון למרפסת, ובכך להגדיל את הסלון, והחלפת התריסים הישנים בויטרינת חלונות. ככל שנכנסנו יותר לנושא, התווספו עוד ועוד חלקים בבית שנכנסו למסגרת השיפוץ. משיפוץ קטן אשר אמור היה לכלול בעיקר את איזור הסלון, מלבד המבטח שופץ רוב הבית. בסלון, חוץ משבירת הקיר והרחבת הסלון, החלפנו חלון, הוספנו שתי מנורות, והחלפנו מזגן. בכניסה ירד בוידעם ישן וחלק מקיר, על מנת להחריב את הכניסה לסלון. במקלחת, הוחלפו האריחים, רוצף קיר נוסף, הותקן מקלחון זכוכית, והוחלף הבוילר. בשירותים הוחלפו האריחים, הוחלפו האסלה והניאגרה. במטבח ירד קיר בין המטבח למרפסת השירות על מנת להגדיל מעט את המטבח הקטן ולהכניס אליו יותר אור. בכל הבית הוחלפו המנורות, השקעים והמתגים, ובנוסף שמנו פרקט בכל הבית מלבד המקלחת והשירותים. כל הפרוצדורה הזו, לקחה כחודש, זמן קצר לשיפוץ לכל הדיעות. עברנו ארבעה קבלנים עד שחתמנו על חוזה, כל אחד הציע עוד רעיונות והיקף השיפוץ גדל. עם תחילת השיפוץ, נשארו הפועלים לישון בדירה, הם חזרו לביתם רק בסופי השבוע. אנחנו, עברנו לדירת איירביאנדבי ברמת גן, יחד עם החתולה שלנו. החתולה שלנו קיבלה את כל המעבר בצורה קשה, הטראומה שלה התחילה כבר בשעה 05:30 בבוקר, כאשר הגיעו המובילים לארוז את תכולת הדירה. היא נכנסה למקום חדש, עם ריחות חדשים, ונראה היה שהיא בדיכאון שכן לא רצתה לאכול ולא יצאה מכלוב הנשיאה שלה. לאחר כשבוע היא התאוששה, והחלה לשלוט בבית ביד רמה כרגיל, לצפות על הרחוב מהחלון ולישון איתנו במיטה. הפועלים עבדו בדירה שעות רבות ביום, על מנת לעמוד בלוח הזמנים הלחוץ. באיזשהו שלב, היו בדירת 50 המטרים הרבועים הקטנה שלנו כשמונה פועלים, כל אחד עובד על חלק אחר בבית. למרות מעט עיכובים, ולמרות שהתווספו כמה חלקים קטנים תוך כדי העבודה, עמדו הפועלים בלוח הזמנים והדירה הייתה מוכנה בזמן. השינוי בדירה הוא דרמטי, היא מוארת יותר והתחושה היא שהיא אף גדולה יותר. בסך הכל, אנו שמחות שנכנסנו להרפתקה הזו שנקראת שיפוץ.",f
"עד לפני כמה חודשים אני הייתי בטוח שכל חיי אהיה לבדי. מעולם לא הצלחתי להתאהב באף אחת, גם לא שנרשמתי לשיעורי סלסה, האנשים שרקדו שם עשו לי כאבי ראש,ורצון עז להקיא, וגם שנרשמתי לאפליקציית דייטינג, אף פעם לא הצליחו למצוא לי התאמה, אולי חוסר הניסיון שלי. החלטתי יום אחד לשנות גישה ולקנות משקפי מציאות מדומה. לאחר שבועיים קיבלתי את ההזמנה שלי של המשקפיים, והורדתי אפליקציה בשם "" ""עולם"" "" באפליקציה הזאת כל אחד בוחר דמות מסוימת איתה הוא משחק ומסתובב בעולם וירטואלי. אני בחרתי בצפרדע. בעודי מקפץ לי בעולם הוירטואלי, הגעתי לבר חדש בשם "" ""ברבר"" "" שם פגשתי המון חברים נחמדים, אחד מהם היה אדון ארנב, או בשם החיבה שלו אדון ארנבי, והשני היה סינדרלה עם נעלי בלנסטון, החוויה הרגישה מאוד אמיתית ונכונה, יכולתי לשמוע את החברים שלי כאילו אני נמצא איתם במציאות ושומע אותם לידי, אך למרות זאת עדיין לא למצוא לי את אהבת האמת שאותה חיפשתי כל השנים האלה. למחרת חזרתי למשחק ושוב ראיתי את אדון ארנבי, הסתובבנו ברחבי העיר הוירטואלית ולפתע ראיתי נסיכה אמיתית, הדבר הכי יפה שראיתי בחיי, אז קיפצתי אליה והצגתי את עצמי בחוסר ביטחון משום שאני רק צפרדע מסכנה, אך נראה היה שהיא אוהבת צפרדעים, דיברנו וצחקנו המון וכל אחד הלך לדרכו. מאוד התאכזבתי מעצמי כי לא הצלחתי למצוא את האומץ לבקש את המספר הוירטואלי שלה ולהוסיף אותה לרישמת החברים שלי.לאחר מכן מצאתי את עצמי יום יום מתחבר לאפליקציה ומחפש אותה ברחבי העולם, וברקע מתנגנת מנגינה עצובה מאוד של המשחק שהכבידה על האווירה ועל רגשות האשם שלי. לאחר כשבוע של חיפושים מצאתי אותה מחוץ לבר "" ""ברבר"" "" מדברת עם איזה נחש, מיד הצטרפתי לשיחה שלהם והוצאתי גיטרה שקניתי בחנות הוירטואלית, הגיטרה הייתה קצת לא מכוונת אבל אמרתי לעצמי בלב לא נורא, גם ככה היא וירטואלית, נזכרתי באקורדים לשיר שלמדתי בילדותי של עמיר בניון "" ""ניצחת איתי הכל"" "" והתחלתי לנגן ולשיר בקול, את הנחש והנסיכה הביצוע לא כל כך הרשים משום שיש לי קול של צפרדע, אז שלפתי את נשק יום הדין שלי, חוש ההומור. שלפתי בדיחה עתיקה שזכרתי מפורום אטרף בדיחות שקראתי בשנת 2005, הנחש והנסיכה מאוד התלהבו והנסיכה ביקשה את המספר שלי במציאות. לאחר כמה ימים בהם דיברנו בטלפון החלטנו להיפגש בתל אביב במציאות. מאוד התרגשתי למפגש איתה, סוף סוף לראות מי זאת הנסיכה שכל כך התאהבתי בה, כשראיתי לראשונה נדהמו עיניי, נורא התאכזבתי משום שבכלל לא נמשכתי אליה והבנתי שנסיכות יש רק בסרטים של דיסני, אבל אמרתי לא נורא, יש לה אופי יפהפה. היום אנחנו יוצאים כבר שלושה חודשים ומאוהבים עד השמיים, בשנה הבאה מקווה שנתחתן ונביא ילדים.",m
"בן זוגי חגג יום הולדת, ורציתי להפתיע אותו ולסגור לנו חופשה לחו"" ""ל בפעם הראשונה לרומא שבאיטליה. סגרתי את החופשה כשלושה חודשים מראש בכדי שהכל יהיה מתוכנן ומוכן מראש. החברה שדרכה סגרנו את החופשה אמרה שיתכן ויהיו ביטולים בעקבות המצב הבריאותי בארץ ובעולם, שהסיכוי לביטול אמנם קלוש אבל קיים. במשך שלושת החודשים הייתי בהתלהבות, תכננתי איך אודיע לבן זוגי על הנסיעה, איך אביא לו את הכרטיסים, וציפיתי לראות מה תהיה תגובתו. הנסיעה תוכננה לשבועיים אחרי היום הולדת שלו. ביום ההולדת , שמתי לו את הכרטיסים בתוך בלון הליום מיוחד. שבוע לאחר מכן הודיעו לנו החברה שדרכה סגרנו שכל הטיסות היוצאות מהארץ לאיטליה בוטלו כי הם נכנסו לסגר. התבאסתי מאד, תכננתי לו"" ""ז לכל השבוע שנהיה באיטליה, בכל יום איפה נטייל ובאיזה מסעדות נהיה, סגרתי מקום למוזיאונים מיוחדים. אבל הם הציעו לי חבילת נופש אחרת במקום, לנסוע לדובאי למשך שבוע במחיר מוזל יותר אפילו , למלון 5 כוכבים, עם נוף על הים. אמרתי לעצמי שלא אכנס לבאסה ולמרות שבדרך כלל אני בחורה מאורגנת, שחייבת שהכל ילך לפי הכללים אתן לזה צ'אנס , ולכן אמרתי לה שתסגור לנו את הדיל, וחבר שלי זרם איתי על הכל. הגענו לבית מלון, שהיה הבית מלון הכי יפה שראיתי בחיים, הכל היה נראה כל כך יוקרתי, החדר שלנו היה בקומה 40, ובקומות הראשונות של הבית מלון היה קניון ענק, עם כמעט כל חנויות מותגי היוקרה. בנוסף , היה לנו בריכה בגובה 200 מ' מעל הקרקע בצורת אינפינטי, שמשקיפה אל כל דובאי. היינו בדיונות של דובאי, נוף מרהיב, יש חולות מכל צד, דיונות עוצמתיות ,לא רואים את הקצה של המדבר! בנוסף, רכבנו על גמלים, נסענו בג'יפים, וסיימנו בארוחת ערב לצד מופע רקדניות במחנה בדואים אותנטי. וגם, היינו בורג' חליפה, גורד השחקים הגבוה ביותר בעולם, שממנו ראינו תצפית פנורמית , 360 מעלות של נוף עוצר נשימה! בימים האחרונים היינו באחד מפארק המים הטוב ביותר בעולם, היו בו מגלשות מים ואטרקציות שלא חוויתי באף פארק שהייתי בו בחיי. ועוד, היינו באקווריום תת ימי, שמכיל מלא חיות ים מיוחדות ושונות, שלא רואים בכל מקום, ובקומה העליונה מעל האקווריום יש גן חיות, שאת החיות בו אפשר לראות ממש מקרוב. בנוסף, עשינו צלילה בתוך האקווריום, צללנו ליד כרישים, האכלנו אותם וגם את חתולי הים. בסוף הטיול שחזרנו לארץ , היינו כל כך מאושרים שלמרות שתכננתי שניסע לאיטליה והכנתי לו"" ""ז, הכל הסתדר והטיול היה כל כך מהנה וחבר שלי כל כך נהנה שזה היה הדבר הכי חשוב מבחינתי, מבחינתו זאת הייתה מתנת יום הולדת הכי טובה שיכל לבקש.",f
